,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge,distance
215,-2.158751596495634,0.6332353550939551,1011,0.001,ADAM,4445,True,0.009986711
216,-1.9367951672936101,2.8064668437799236,1012,0.001,RMSProp,2760,True,0.06999072
217,-1.9367951672936101,2.8064668437799236,1012,0.001,SGD,919,True,0.07054923
218,-1.9367951672936101,2.8064668437799236,1012,0.001,ADAM,4648,True,0.070067376
219,2.944929153061878,-4.210205284257439,1013,0.001,RMSProp,4167,True,0.0703395
220,2.944929153061878,-4.210205284257439,1013,0.001,SGD,1020,True,0.07060385
221,2.944929153061878,-4.210205284257439,1013,0.001,ADAM,6617,True,0.070634745
222,-0.6447599837720013,0.8570230530041458,1014,0.001,RMSProp,800,True,0.06980311
223,-0.6447599837720013,0.8570230530041458,1014,0.001,SGD,623,True,0.070560314
224,-0.6447599837720013,0.8570230530041458,1014,0.001,ADAM,1455,True,0.047829587
225,-1.4009706476594186,1.0706782860736528,1015,0.001,RMSProp,1424,True,0.009836007
226,-1.4009706476594186,1.0706782860736528,1015,0.001,SGD,679,True,0.07042881
227,-1.4009706476594186,1.0706782860736528,1015,0.001,ADAM,3044,True,0.009987645
228,-2.7200840328781464,-0.5730600890568862,1016,0.001,RMSProp,2749,True,0.009905667
229,-2.7200840328781464,-0.5730600890568862,1016,0.001,SGD,523,True,0.07044244
230,-2.7200840328781464,-0.5730600890568862,1016,0.001,ADAM,5362,True,0.009981007
231,4.183517543102761,3.213318736338147,1017,0.001,RMSProp,4217,True,0.009515131
232,4.183517543102761,3.213318736338147,1017,0.001,SGD,953,True,0.070486076
233,4.183517543102761,3.213318736338147,1017,0.001,ADAM,7460,True,0.00997433
234,0.9397544918868928,-0.45040924304891305,1018,0.001,RMSProp,959,True,0.0099226
235,0.9397544918868928,-0.45040924304891305,1018,0.001,SGD,462,True,0.070700385
236,0.9397544918868928,-0.45040924304891305,1018,0.001,ADAM,2070,True,0.00996727
237,-2.8307314139340845,-1.0400495210627705,1019,0.001,RMSProp,2860,True,0.009912006
238,-2.8307314139340845,-1.0400495210627705,1019,0.001,SGD,671,True,0.07064305
239,-2.8307314139340845,-1.0400495210627705,1019,0.001,ADAM,5533,True,0.009994242
